user_id,isbn,title,author,image
namrata,0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
namrata,0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg
namrata,0671870432,PLEADING GUILTY,Scott Turow,http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg
,0393045218,The Mummies of Urumchi,E. J. W. Barber,http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg
,0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
,0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
,0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
,0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
,0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
,0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
,0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
,1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,http://images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg
,0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
namrata,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
namrata1,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
namrata,0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
namrata,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
namrata,0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
namrata,0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
a,0771074670,Nights Below Station Street,David Adams Richards,http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg
a,0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
a,0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
a,0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
